Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
1999;Africa;San Siro (57);1314
1999;Africa;De Angeli - Monte Rosa (58);247
1999;Africa;Tre Torri (59);7
1999;Africa;Stadio - Ippodromi (60);111
1999;Africa;Quarto Cagnino (61);96
1999;Africa;Quinto Romano (62);62
1999;Africa;Figino (63);19
1999;Africa;Trenno (64);36
1999;Africa;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);216
1999;Africa;QT 8 (66);27
1999;Africa;Portello (67);85
1999;Africa;Pagano (68);152
1999;Africa;Sarpi (69);551
1999;Africa;Ghisolfa (70);236
1999;Africa;Villapizzone - Cagnola - Boldinasco (71);920
1999;Africa;Maggiore - Musocco - Certosa (72);78
1999;Africa;Roserio (74);1
1999;Africa;Quarto Oggiaro - Vialba - Musocco (76);755
1999;Africa;Bovisa (77);426
1999;Africa;Farini (78);205
1999;Africa;Dergano (79);544
1999;Africa;Affori (80);427
1999;Africa;Bovisasca (81);111
1999;Africa;Comasina (82);124
1999;Africa;Bruzzano (83);162
1999;Africa;Parco Nord (84);7
1999;Africa;Parco delle Abbazie (85);19
1999;Africa;Parco dei Navigli (86);10
1999;Africa;Assiano (87);5
1999;Africa;Parco Bosco in citta' (88);100
1999;America;Duomo (1);402
1999;America;Brera (2);403
1999;America;Giardini P.ta Venezia (3);2
1999;America;Guastalla (4);338
1999;America;Porta Vigentina - Porta Lodovica (5);179
1999;America;Porta Ticinese - Conca del Naviglio (6);339
1999;America;Magenta - S.Vittore (7);279
1999;America;Porta Garibaldi - Porta Nuova (9);113
1999;America;Stazione Centrale - Ponte Seveso (10);394
1999;America;Isola (11);362
1999;America;Maciachini - Maggiolina (12);367
1999;America;Greco - Segnano (13);179
1999;America;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);171
1999;America;Bicocca (15);49
1999;America;Gorla - Precotto (16);274
1999;America;Adriano (17);75
1999;America;Cimiano - Rottole - Q.re Feltre (18);207
1999;America;Padova - Turro - Crescenzago (19);583
1999;America;Loreto - Casoretto - NoLo (20);841
1999;America;Buenos Aires - Porta Venezia - Porta Monforte (21);973
1999;America;Citta' studi (22);624
1999;America;Lambrate - Ortica (23);92
1999;America;Parco Forlanini - Cavriano (24);11
1999;America;Corsica (25);268
1999;America;XXII Marzo (26);404
1999;America;Pta Romana (27);220
1999;America;Umbria - Molise - Calvairate (28);338
1999;America;Ortomercato (29);29
1999;America;Taliedo - Morsenchio - Q.re Forlanini (30);156
1999;America;Monlue' - Ponte Lambro (31);46
1999;America;Triulzo Superiore (32);27
1999;America;Rogoredo - Santa Giulia (33);39
1999;America;Chiaravalle (34);6
1999;America;Lodi - Corvetto (35);422
1999;America;Scalo Romana (36);151
1999;America;Morivione (37);63
1999;America;Vigentino - Q.re Fatima (38);84
1999;America;Quintosole (39);3
1999;America;Ronchetto delle Rane (40);1
1999;America;Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);41
1999;America;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);290
1999;America;Tibaldi (43);145
1999;America;Porta Ticinese - Conchetta (44);226
1999;America;Moncucco - San Cristoforo (45);126
1999;America;Barona (46);50
1999;America;Cantalupa (47);3
1999;America;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);140
1999;America;Giambellino (49);408
1999;America;Porta Genova (50);164
1999;America;Porta Magenta (51);349
1999;America;Bande Nere (52);456
1999;America;Lorenteggio (53);76
1999;America;Muggiano (54);2
1999;America;Baggio - Q.re degli Olmi - Q.re Valsesia (55);238
1999;America;Forze Armate (56);191
1999;America;San Siro (57);324
1999;America;De Angeli - Monte Rosa (58);282
1999;America;Tre Torri (59);18
1999;America;Stadio - Ippodromi (60);144
1999;America;Quarto Cagnino (61);39
1999;America;Quinto Romano (62);30
1999;America;Figino (63);9
1999;America;Trenno (64);13
1999;America;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);141
1999;America;QT 8 (66);25
1999;America;Portello (67);100
1999;America;Pagano (68);264
1999;America;Sarpi (69);410
1999;America;Ghisolfa (70);205
1999;America;Villapizzone - Cagnola - Boldinasco (71);476
1999;America;Maggiore - Musocco - Certosa (72);18
1999;America;Roserio (74);3
1999;America;Quarto Oggiaro - Vialba - Musocco (76);181
1999;America;Bovisa (77);117
1999;America;Farini (78);55
1999;America;Dergano (79);249
1999;America;Affori (80);221
1999;America;Bovisasca (81);40
1999;America;Comasina (82);55
1999;America;Bruzzano (83);71
1999;America;Parco delle Abbazie (85);2
1999;America;Parco dei Navigli (86);5
1999;America;Assiano (87);1
1999;America;Parco Bosco in citta' (88);2
1999;Oceania;Duomo (1);5
1999;Oceania;Brera (2);8
1999;Oceania;Guastalla (4);3
1999;Oceania;Porta Vigentina - Porta Lodovica (5);6
1999;Oceania;Porta Ticinese - Conca del Naviglio (6);2
1999;Oceania;Magenta - S.Vittore (7);4
1999;Oceania;Stazione Centrale - Ponte Seveso (10);6
1999;Oceania;Isola (11);1
1999;Oceania;Maciachini - Maggiolina (12);3
1999;Oceania;Greco - Segnano (13);1
1999;Oceania;Gorla - Precotto (16);1
1999;Oceania;Adriano (17);1
1999;Oceania;Cimiano - Rottole - Q.re Feltre (18);1
1999;Oceania;Padova - Turro - Crescenzago (19);5
1999;Oceania;Loreto - Casoretto - NoLo (20);5
1999;Oceania;Buenos Aires - Porta Venezia - Porta Monforte (21);12
1999;Oceania;Citta' studi (22);2
1999;Oceania;Lambrate - Ortica (23);1
1999;Oceania;Corsica (25);3
1999;Oceania;XXII Marzo (26);7
1999;Oceania;Umbria - Molise - Calvairate (28);3
1999;Oceania;Triulzo Superiore (32);1
1999;Oceania;Rogoredo - Santa Giulia (33);2
1999;Oceania;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);2
1999;Oceania;Tibaldi (43);5
1999;Oceania;Porta Ticinese - Conchetta (44);6
1999;Oceania;Giambellino (49);9
1999;Oceania;Porta Genova (50);5
1999;Oceania;Porta Magenta (51);8
1999;Oceania;Bande Nere (52);5
1999;Oceania;Lorenteggio (53);2
1999;Oceania;De Angeli - Monte Rosa (58);2
1999;Oceania;Trenno (64);1
1999;Oceania;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);5
1999;Oceania;Pagano (68);4
1999;Oceania;Sarpi (69);7
1999;Oceania;Villapizzone - Cagnola - Boldinasco (71);3
1999;Oceania;Maggiore - Musocco - Certosa (72);1
1999;Oceania;Quarto Oggiaro - Vialba - Musocco (76);2
1999;Oceania;Dergano (79);3
1999;Oceania;Bruzzano (83);2
