"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"1999";"Ortomercato (29)";"Asia";122
"1999";"Ortomercato (29)";"Africa";129
"1999";"Ortomercato (29)";"America";29
"1999";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Europa (Italia esclusa)";164
"1999";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Asia";198
"1999";"Taliedo - Morsenchio - Q.re Forlanini (30)";"Africa";296
"1999";"Taliedo - Morsenchio - Q.re Forlanini (30)";"America";156
"1999";"Monlue' - Ponte Lambro (31)";"Europa (Italia esclusa)";44
"1999";"Monlue' - Ponte Lambro (31)";"Asia";68
"1999";"Monlue' - Ponte Lambro (31)";"Africa";267
"1999";"Monlue' - Ponte Lambro (31)";"America";46
"1999";"Triulzo Superiore (32)";"Europa (Italia esclusa)";31
"1999";"Triulzo Superiore (32)";"Asia";64
"1999";"Triulzo Superiore (32)";"Africa";216
"1999";"Triulzo Superiore (32)";"America";27
"1999";"Triulzo Superiore (32)";"Oceania";1
"1999";"Rogoredo - Santa Giulia (33)";"Europa (Italia esclusa)";40
"1999";"Rogoredo - Santa Giulia (33)";"Asia";72
"1999";"Rogoredo - Santa Giulia (33)";"Africa";145
"1999";"Rogoredo - Santa Giulia (33)";"America";39
"1999";"Rogoredo - Santa Giulia (33)";"Oceania";2
"1999";"Chiaravalle (34)";"Europa (Italia esclusa)";4
"1999";"Chiaravalle (34)";"Asia";2
"1999";"Chiaravalle (34)";"Africa";26
"1999";"Chiaravalle (34)";"America";6
"1999";"Lodi - Corvetto (35)";"Europa (Italia esclusa)";392
"1999";"Lodi - Corvetto (35)";"Asia";909
"1999";"Lodi - Corvetto (35)";"Africa";1180
"1999";"Lodi - Corvetto (35)";"America";422
"1999";"Scalo Romana (36)";"Europa (Italia esclusa)";153
"1999";"Scalo Romana (36)";"Asia";471
"1999";"Scalo Romana (36)";"Africa";691
"1999";"Scalo Romana (36)";"America";151
"1999";"Morivione (37)";"Europa (Italia esclusa)";45
"1999";"Morivione (37)";"Asia";134
"1999";"Morivione (37)";"Africa";118
"1999";"Morivione (37)";"America";63
"1999";"Vigentino - Q.re Fatima (38)";"Europa (Italia esclusa)";135
"1999";"Vigentino - Q.re Fatima (38)";"Asia";236
"1999";"Vigentino - Q.re Fatima (38)";"Africa";115
"1999";"Vigentino - Q.re Fatima (38)";"America";84
"1999";"Quintosole (39)";"Europa (Italia esclusa)";2
"1999";"Quintosole (39)";"Asia";4
"1999";"Quintosole (39)";"Africa";8
"1999";"Quintosole (39)";"America";3
"1999";"Ronchetto delle Rane (40)";"Europa (Italia esclusa)";2
"1999";"Ronchetto delle Rane (40)";"Asia";1
"1999";"Ronchetto delle Rane (40)";"America";1
"1999";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Europa (Italia esclusa)";56
"1999";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Asia";69
