"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Kirghizistan";"Bicocca (15)";1
"Kirghizistan";"Gorla - Precotto (16)";8
"Kirghizistan";"Adriano (17)";1
"Kirghizistan";"Padova - Turro - Crescenzago (19)";1
"Kirghizistan";"Loreto - Casoretto - NoLo (20)";2
"Kirghizistan";"Buenos Aires - Porta Venezia - Porta Monforte (21)";6
"Kirghizistan";"XXII Marzo (26)";5
"Kirghizistan";"Umbria - Molise - Calvairate (28)";3
"Kirghizistan";"Taliedo - Morsenchio - Q.re Forlanini (30)";2
"Kirghizistan";"Triulzo Superiore (32)";3
"Kirghizistan";"Rogoredo - Santa Giulia (33)";4
"Kirghizistan";"Lodi - Corvetto (35)";2
"Kirghizistan";"Vigentino - Q.re Fatima (38)";1
"Kirghizistan";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Kirghizistan";"Moncucco - San Cristoforo (45)";1
"Kirghizistan";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Kirghizistan";"Porta Genova (50)";1
"Kirghizistan";"Porta Magenta (51)";4
"Kirghizistan";"Bande Nere (52)";5
"Kirghizistan";"Lorenteggio (53)";2
"Kirghizistan";"San Siro (57)";8
"Kirghizistan";"De Angeli - Monte Rosa (58)";1
"Kirghizistan";"Stadio - Ippodromi (60)";3
"Kirghizistan";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";9
"Kirghizistan";"Pagano (68)";1
"Kirghizistan";"Ghisolfa (70)";2
"Kirghizistan";"Villapizzone - Cagnola - Boldinasco (71)";2
"Kirghizistan";"Maggiore - Musocco - Certosa (72)";1
"Kirghizistan";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Kirghizistan";"Bovisa (77)";2
"Kirghizistan";"Bovisasca (81)";1
"Kirghizistan";"Bruzzano (83)";1
"Tagikistan";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2
"Tagikistan";"Rogoredo - Santa Giulia (33)";5
"Tagikistan";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Tagikistan";"Giambellino (49)";1
"Taiwan (ex Formosa)";"Duomo (1)";4
"Taiwan (ex Formosa)";"Brera (2)";5
"Taiwan (ex Formosa)";"Guastalla (4)";3
"Taiwan (ex Formosa)";"Porta Vigentina - Porta Lodovica (5)";2
"Taiwan (ex Formosa)";"Porta Ticinese - Conca del Naviglio (6)";2
"Taiwan (ex Formosa)";"Magenta - S.Vittore (7)";3
"Taiwan (ex Formosa)";"Porta Garibaldi - Porta Nuova (9)";3
"Taiwan (ex Formosa)";"Stazione Centrale - Ponte Seveso (10)";15
"Taiwan (ex Formosa)";"Isola (11)";4
"Taiwan (ex Formosa)";"Maciachini - Maggiolina (12)";1
"Taiwan (ex Formosa)";"Greco - Segnano (13)";4
"Taiwan (ex Formosa)";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3
"Taiwan (ex Formosa)";"Bicocca (15)";2
"Taiwan (ex Formosa)";"Gorla - Precotto (16)";5
"Taiwan (ex Formosa)";"Cimiano - Rottole - Q.re Feltre (18)";3
"Taiwan (ex Formosa)";"Padova - Turro - Crescenzago (19)";9
"Taiwan (ex Formosa)";"Loreto - Casoretto - NoLo (20)";9
"Taiwan (ex Formosa)";"Buenos Aires - Porta Venezia - Porta Monforte (21)";22
"Taiwan (ex Formosa)";"Citta' studi (22)";5
"Taiwan (ex Formosa)";"Corsica (25)";2
"Taiwan (ex Formosa)";"XXII Marzo (26)";5
"Taiwan (ex Formosa)";"Pta Romana (27)";1
"Taiwan (ex Formosa)";"Umbria - Molise - Calvairate (28)";2
"Taiwan (ex Formosa)";"Taliedo - Morsenchio - Q.re Forlanini (30)";3
"Taiwan (ex Formosa)";"Lodi - Corvetto (35)";10
"Taiwan (ex Formosa)";"Scalo Romana (36)";1
"Taiwan (ex Formosa)";"Morivione (37)";2
"Taiwan (ex Formosa)";"Vigentino - Q.re Fatima (38)";1
"Taiwan (ex Formosa)";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Taiwan (ex Formosa)";"Tibaldi (43)";7
"Taiwan (ex Formosa)";"Porta Ticinese - Conchetta (44)";6
"Taiwan (ex Formosa)";"Barona (46)";1
"Taiwan (ex Formosa)";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Taiwan (ex Formosa)";"Porta Genova (50)";6
"Taiwan (ex Formosa)";"Porta Magenta (51)";3
"Taiwan (ex Formosa)";"Bande Nere (52)";3
"Taiwan (ex Formosa)";"Forze Armate (56)";2
"Taiwan (ex Formosa)";"San Siro (57)";1
"Taiwan (ex Formosa)";"De Angeli - Monte Rosa (58)";7
"Taiwan (ex Formosa)";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";6
"Taiwan (ex Formosa)";"QT 8 (66)";4
"Taiwan (ex Formosa)";"Portello (67)";1
"Taiwan (ex Formosa)";"Pagano (68)";1
"Taiwan (ex Formosa)";"Sarpi (69)";10
"Taiwan (ex Formosa)";"Ghisolfa (70)";4
"Taiwan (ex Formosa)";"Villapizzone - Cagnola - Boldinasco (71)";9
"Taiwan (ex Formosa)";"Maggiore - Musocco - Certosa (72)";2
"Taiwan (ex Formosa)";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Taiwan (ex Formosa)";"Bovisa (77)";3
"Taiwan (ex Formosa)";"Dergano (79)";5
"Taiwan (ex Formosa)";"Affori (80)";4
"Taiwan (ex Formosa)";"Comasina (82)";3
"Taiwan (ex Formosa)";"Bruzzano (83)";1
"Turkmenistan";"Greco - Segnano (13)";2
"Turkmenistan";"Portello (67)";1
"Turkmenistan";"Dergano (79)";1
"Algeria";"Duomo (1)";1
"Algeria";"Brera (2)";5
"Algeria";"Porta Vigentina - Porta Lodovica (5)";4
"Algeria";"Porta Ticinese - Conca del Naviglio (6)";9
"Algeria";"Magenta - S.Vittore (7)";5
"Algeria";"Porta Garibaldi - Porta Nuova (9)";1
"Algeria";"Stazione Centrale - Ponte Seveso (10)";8
"Algeria";"Isola (11)";10
"Algeria";"Maciachini - Maggiolina (12)";22
"Algeria";"Greco - Segnano (13)";4
"Algeria";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";19
"Algeria";"Bicocca (15)";2
"Algeria";"Gorla - Precotto (16)";7
"Algeria";"Adriano (17)";14
"Algeria";"Cimiano - Rottole - Q.re Feltre (18)";7
"Algeria";"Padova - Turro - Crescenzago (19)";26
"Algeria";"Loreto - Casoretto - NoLo (20)";23
"Algeria";"Buenos Aires - Porta Venezia - Porta Monforte (21)";16
"Algeria";"Citta' studi (22)";21
"Algeria";"Lambrate - Ortica (23)";2
"Algeria";"Parco Forlanini - Cavriano (24)";1
"Algeria";"Corsica (25)";1
"Algeria";"Pta Romana (27)";5
"Algeria";"Umbria - Molise - Calvairate (28)";9
"Algeria";"Ortomercato (29)";3
"Algeria";"Taliedo - Morsenchio - Q.re Forlanini (30)";8
"Algeria";"Monlue' - Ponte Lambro (31)";8
"Algeria";"Triulzo Superiore (32)";1
"Algeria";"Chiaravalle (34)";1
"Algeria";"Lodi - Corvetto (35)";38
"Algeria";"Scalo Romana (36)";17
"Algeria";"Morivione (37)";1
"Algeria";"Vigentino - Q.re Fatima (38)";1
"Algeria";"Quintosole (39)";1
"Algeria";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";25
"Algeria";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";13
"Algeria";"Tibaldi (43)";5
"Algeria";"Porta Ticinese - Conchetta (44)";5
"Algeria";"Moncucco - San Cristoforo (45)";6
"Algeria";"Barona (46)";24
"Algeria";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Algeria";"Giambellino (49)";12
"Algeria";"Porta Magenta (51)";2
"Algeria";"Bande Nere (52)";3
"Algeria";"Lorenteggio (53)";6
"Algeria";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";25
"Algeria";"Forze Armate (56)";30
"Algeria";"San Siro (57)";12
"Algeria";"De Angeli - Monte Rosa (58)";14
"Algeria";"Stadio - Ippodromi (60)";18
"Algeria";"Quarto Cagnino (61)";2
"Algeria";"Quinto Romano (62)";1
"Algeria";"Figino (63)";2
"Algeria";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";5
"Algeria";"QT 8 (66)";7
"Algeria";"Pagano (68)";1
"Algeria";"Sarpi (69)";3
"Algeria";"Ghisolfa (70)";5
"Algeria";"Villapizzone - Cagnola - Boldinasco (71)";18
"Algeria";"Maggiore - Musocco - Certosa (72)";1
"Algeria";"Cascina Merlata (73)";4
"Algeria";"Quarto Oggiaro - Vialba - Musocco (76)";15
"Algeria";"Bovisa (77)";3
"Algeria";"Farini (78)";1
"Algeria";"Dergano (79)";22
"Algeria";"Affori (80)";7
"Algeria";"Bovisasca (81)";1
"Algeria";"Comasina (82)";7
"Algeria";"Bruzzano (83)";7
"Angola";"Duomo (1)";2
"Angola";"Porta Vigentina - Porta Lodovica (5)";5
"Angola";"Magenta - S.Vittore (7)";1
"Angola";"Stazione Centrale - Ponte Seveso (10)";1
"Angola";"Isola (11)";1
"Angola";"Citta' studi (22)";4
"Angola";"Umbria - Molise - Calvairate (28)";2
"Angola";"Rogoredo - Santa Giulia (33)";2
"Angola";"Lodi - Corvetto (35)";3
"Angola";"Vigentino - Q.re Fatima (38)";1
"Angola";"Ronchetto delle Rane (40)";1
"Angola";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Angola";"Bande Nere (52)";1
"Angola";"Forze Armate (56)";5
"Angola";"San Siro (57)";1
"Angola";"De Angeli - Monte Rosa (58)";1
"Angola";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Angola";"QT 8 (66)";1
"Angola";"Villapizzone - Cagnola - Boldinasco (71)";2
"Angola";"Cascina Merlata (73)";1
"Costa d'Avorio";"Duomo (1)";1
"Costa d'Avorio";"Brera (2)";9
"Costa d'Avorio";"Porta Ticinese - Conca del Naviglio (6)";16
"Costa d'Avorio";"Magenta - S.Vittore (7)";5
"Costa d'Avorio";"Porta Garibaldi - Porta Nuova (9)";1
"Costa d'Avorio";"Stazione Centrale - Ponte Seveso (10)";3
"Costa d'Avorio";"Isola (11)";2
"Costa d'Avorio";"Maciachini - Maggiolina (12)";9
"Costa d'Avorio";"Greco - Segnano (13)";30
"Costa d'Avorio";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";9
"Costa d'Avorio";"Gorla - Precotto (16)";7
"Costa d'Avorio";"Adriano (17)";27
"Costa d'Avorio";"Cimiano - Rottole - Q.re Feltre (18)";3
"Costa d'Avorio";"Padova - Turro - Crescenzago (19)";61
"Costa d'Avorio";"Loreto - Casoretto - NoLo (20)";5
"Costa d'Avorio";"Buenos Aires - Porta Venezia - Porta Monforte (21)";12
"Costa d'Avorio";"Citta' studi (22)";3
"Costa d'Avorio";"Parco Forlanini - Cavriano (24)";147
"Costa d'Avorio";"XXII Marzo (26)";3
"Costa d'Avorio";"Umbria - Molise - Calvairate (28)";3
"Costa d'Avorio";"Ortomercato (29)";2
"Costa d'Avorio";"Taliedo - Morsenchio - Q.re Forlanini (30)";9
"Costa d'Avorio";"Monlue' - Ponte Lambro (31)";22
"Costa d'Avorio";"Triulzo Superiore (32)";1
"Costa d'Avorio";"Rogoredo - Santa Giulia (33)";6
"Costa d'Avorio";"Lodi - Corvetto (35)";20
"Costa d'Avorio";"Scalo Romana (36)";24
"Costa d'Avorio";"Vigentino - Q.re Fatima (38)";2
"Costa d'Avorio";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";6
"Costa d'Avorio";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";5
"Costa d'Avorio";"Tibaldi (43)";1
"Costa d'Avorio";"Porta Ticinese - Conchetta (44)";3
"Costa d'Avorio";"Moncucco - San Cristoforo (45)";3
"Costa d'Avorio";"Barona (46)";1
"Costa d'Avorio";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";5
"Costa d'Avorio";"Giambellino (49)";9
"Costa d'Avorio";"Bande Nere (52)";5
"Costa d'Avorio";"Lorenteggio (53)";3
"Costa d'Avorio";"Muggiano (54)";2
"Costa d'Avorio";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";14
"Costa d'Avorio";"Forze Armate (56)";12
"Costa d'Avorio";"San Siro (57)";11
"Costa d'Avorio";"De Angeli - Monte Rosa (58)";1
"Costa d'Avorio";"Stadio - Ippodromi (60)";3
"Costa d'Avorio";"Trenno (64)";4
"Costa d'Avorio";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";31
"Costa d'Avorio";"Sarpi (69)";2
"Costa d'Avorio";"Ghisolfa (70)";1
"Costa d'Avorio";"Villapizzone - Cagnola - Boldinasco (71)";6
"Costa d'Avorio";"Cascina Merlata (73)";2
"Costa d'Avorio";"Quarto Oggiaro - Vialba - Musocco (76)";17
"Costa d'Avorio";"Bovisa (77)";2
"Costa d'Avorio";"Dergano (79)";10
"Costa d'Avorio";"Affori (80)";3
"Costa d'Avorio";"Bovisasca (81)";1
"Costa d'Avorio";"Comasina (82)";2
"Costa d'Avorio";"Bruzzano (83)";5
"Costa d'Avorio";"Parco delle Abbazie (85)";2
"Benin (ex Dahomey)";"Brera (2)";1
"Benin (ex Dahomey)";"Porta Ticinese - Conca del Naviglio (6)";1
"Benin (ex Dahomey)";"Isola (11)";2
"Benin (ex Dahomey)";"Maciachini - Maggiolina (12)";1
"Benin (ex Dahomey)";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";2
"Benin (ex Dahomey)";"Gorla - Precotto (16)";2
"Benin (ex Dahomey)";"Adriano (17)";3
"Benin (ex Dahomey)";"Cimiano - Rottole - Q.re Feltre (18)";1
"Benin (ex Dahomey)";"Padova - Turro - Crescenzago (19)";1
"Benin (ex Dahomey)";"Parco Forlanini - Cavriano (24)";1
"Benin (ex Dahomey)";"Rogoredo - Santa Giulia (33)";5
"Benin (ex Dahomey)";"Lodi - Corvetto (35)";1
"Benin (ex Dahomey)";"Morivione (37)";4
"Benin (ex Dahomey)";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";3
"Benin (ex Dahomey)";"Giambellino (49)";3
"Benin (ex Dahomey)";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";3
"Benin (ex Dahomey)";"Villapizzone - Cagnola - Boldinasco (71)";4
"Benin (ex Dahomey)";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Benin (ex Dahomey)";"Comasina (82)";1
"Burkina Faso (ex Alto Volta)";"Brera (2)";1
"Burkina Faso (ex Alto Volta)";"Magenta - S.Vittore (7)";2
"Burkina Faso (ex Alto Volta)";"Isola (11)";1
"Burkina Faso (ex Alto Volta)";"Maciachini - Maggiolina (12)";1
"Burkina Faso (ex Alto Volta)";"Greco - Segnano (13)";2
"Burkina Faso (ex Alto Volta)";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Burkina Faso (ex Alto Volta)";"Adriano (17)";11
"Burkina Faso (ex Alto Volta)";"Padova - Turro - Crescenzago (19)";3
"Burkina Faso (ex Alto Volta)";"Loreto - Casoretto - NoLo (20)";2
"Burkina Faso (ex Alto Volta)";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Burkina Faso (ex Alto Volta)";"Citta' studi (22)";2
"Burkina Faso (ex Alto Volta)";"Parco Forlanini - Cavriano (24)";85
"Burkina Faso (ex Alto Volta)";"Corsica (25)";1
"Burkina Faso (ex Alto Volta)";"Umbria - Molise - Calvairate (28)";2
"Burkina Faso (ex Alto Volta)";"Taliedo - Morsenchio - Q.re Forlanini (30)";7
"Burkina Faso (ex Alto Volta)";"Monlue' - Ponte Lambro (31)";21
"Burkina Faso (ex Alto Volta)";"Rogoredo - Santa Giulia (33)";1
"Burkina Faso (ex Alto Volta)";"Lodi - Corvetto (35)";3
"Burkina Faso (ex Alto Volta)";"Scalo Romana (36)";6
"Burkina Faso (ex Alto Volta)";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2
"Burkina Faso (ex Alto Volta)";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";6
"Burkina Faso (ex Alto Volta)";"Moncucco - San Cristoforo (45)";1
"Burkina Faso (ex Alto Volta)";"Giambellino (49)";1
"Burkina Faso (ex Alto Volta)";"Bande Nere (52)";1
"Burkina Faso (ex Alto Volta)";"Lorenteggio (53)";1
"Burkina Faso (ex Alto Volta)";"Stadio - Ippodromi (60)";21
"Burkina Faso (ex Alto Volta)";"Quarto Cagnino (61)";1
"Burkina Faso (ex Alto Volta)";"Trenno (64)";1
"Burkina Faso (ex Alto Volta)";"Villapizzone - Cagnola - Boldinasco (71)";1
"Burkina Faso (ex Alto Volta)";"Cascina Merlata (73)";1
"Burkina Faso (ex Alto Volta)";"Quarto Oggiaro - Vialba - Musocco (76)";8
"Burkina Faso (ex Alto Volta)";"Bovisa (77)";4
"Burkina Faso (ex Alto Volta)";"Dergano (79)";2
"Burundi";"Porta Ticinese - Conca del Naviglio (6)";1
"Burundi";"XXII Marzo (26)";1
"Burundi";"Umbria - Molise - Calvairate (28)";1
"Burundi";"Stadio - Ippodromi (60)";1
"Burundi";"Sarpi (69)";1
"Camerun";"Duomo (1)";1
"Camerun";"Brera (2)";13
"Camerun";"Guastalla (4)";5
"Camerun";"Porta Vigentina - Porta Lodovica (5)";1
"Camerun";"Porta Ticinese - Conca del Naviglio (6)";5
"Camerun";"Magenta - S.Vittore (7)";2
"Camerun";"Porta Garibaldi - Porta Nuova (9)";1
"Camerun";"Stazione Centrale - Ponte Seveso (10)";3
"Camerun";"Isola (11)";2
"Camerun";"Maciachini - Maggiolina (12)";5
"Camerun";"Greco - Segnano (13)";15
"Camerun";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";13
"Camerun";"Bicocca (15)";2
"Camerun";"Gorla - Precotto (16)";13
"Camerun";"Adriano (17)";26
"Camerun";"Cimiano - Rottole - Q.re Feltre (18)";4
"Camerun";"Padova - Turro - Crescenzago (19)";27
"Camerun";"Loreto - Casoretto - NoLo (20)";13
"Camerun";"Buenos Aires - Porta Venezia - Porta Monforte (21)";18
"Camerun";"Citta' studi (22)";20
"Camerun";"Lambrate - Ortica (23)";1
"Camerun";"Parco Forlanini - Cavriano (24)";26
"Camerun";"Corsica (25)";1
"Camerun";"XXII Marzo (26)";8
"Camerun";"Pta Romana (27)";1
"Camerun";"Umbria - Molise - Calvairate (28)";20
"Camerun";"Ortomercato (29)";8
"Camerun";"Taliedo - Morsenchio - Q.re Forlanini (30)";3
"Camerun";"Monlue' - Ponte Lambro (31)";11
"Camerun";"Triulzo Superiore (32)";1
"Camerun";"Rogoredo - Santa Giulia (33)";9
"Camerun";"Lodi - Corvetto (35)";19
"Camerun";"Scalo Romana (36)";6
"Camerun";"Vigentino - Q.re Fatima (38)";14
"Camerun";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";3
"Camerun";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";12
"Camerun";"Tibaldi (43)";9
"Camerun";"Porta Ticinese - Conchetta (44)";2
"Camerun";"Barona (46)";11
"Camerun";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Camerun";"Giambellino (49)";7
"Camerun";"Porta Magenta (51)";6
"Camerun";"Bande Nere (52)";5
"Camerun";"Lorenteggio (53)";3
"Camerun";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";13
"Camerun";"Forze Armate (56)";13
"Camerun";"San Siro (57)";8
"Camerun";"De Angeli - Monte Rosa (58)";2
"Camerun";"Stadio - Ippodromi (60)";1
"Camerun";"Quarto Cagnino (61)";3
"Camerun";"Quinto Romano (62)";4
"Camerun";"Figino (63)";2
"Camerun";"Trenno (64)";5
"Camerun";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";22
"Camerun";"Pagano (68)";2
"Camerun";"Sarpi (69)";5
"Camerun";"Ghisolfa (70)";3
"Camerun";"Villapizzone - Cagnola - Boldinasco (71)";1
"Camerun";"Maggiore - Musocco - Certosa (72)";7
"Camerun";"Quarto Oggiaro - Vialba - Musocco (76)";16
"Camerun";"Bovisa (77)";1
"Camerun";"Farini (78)";1
"Camerun";"Dergano (79)";13
"Camerun";"Affori (80)";9
"Camerun";"Bovisasca (81)";8
"Camerun";"Comasina (82)";3
"Camerun";"Bruzzano (83)";7
"Capo Verde";"Duomo (1)";4
"Capo Verde";"Brera (2)";3
"Capo Verde";"Guastalla (4)";1
"Capo Verde";"Porta Ticinese - Conca del Naviglio (6)";1
"Capo Verde";"Magenta - S.Vittore (7)";5
"Capo Verde";"Porta Garibaldi - Porta Nuova (9)";1
"Capo Verde";"Stazione Centrale - Ponte Seveso (10)";1
"Capo Verde";"Maciachini - Maggiolina (12)";5
"Capo Verde";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Capo Verde";"Gorla - Precotto (16)";4
"Capo Verde";"Cimiano - Rottole - Q.re Feltre (18)";1
"Capo Verde";"Padova - Turro - Crescenzago (19)";1
"Capo Verde";"Loreto - Casoretto - NoLo (20)";3
"Capo Verde";"Buenos Aires - Porta Venezia - Porta Monforte (21)";5
"Capo Verde";"Citta' studi (22)";8
"Capo Verde";"Parco Forlanini - Cavriano (24)";1
"Capo Verde";"Pta Romana (27)";2
"Capo Verde";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Capo Verde";"Lodi - Corvetto (35)";3
"Capo Verde";"Scalo Romana (36)";1
"Capo Verde";"Morivione (37)";4
"Capo Verde";"Vigentino - Q.re Fatima (38)";2
"Capo Verde";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Capo Verde";"Porta Ticinese - Conchetta (44)";2
"Capo Verde";"Barona (46)";2
"Capo Verde";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Capo Verde";"Porta Genova (50)";1
"Capo Verde";"Bande Nere (52)";15
"Capo Verde";"Lorenteggio (53)";1
"Capo Verde";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";4
"Capo Verde";"Forze Armate (56)";4
"Capo Verde";"San Siro (57)";2
"Capo Verde";"De Angeli - Monte Rosa (58)";2
"Capo Verde";"Quarto Cagnino (61)";4
"Capo Verde";"Quinto Romano (62)";2
"Capo Verde";"Portello (67)";4
"Capo Verde";"Pagano (68)";5
"Capo Verde";"Sarpi (69)";4
"Capo Verde";"Ghisolfa (70)";1
"Capo Verde";"Villapizzone - Cagnola - Boldinasco (71)";7
"Capo Verde";"Cascina Merlata (73)";1
"Capo Verde";"Quarto Oggiaro - Vialba - Musocco (76)";2
"Capo Verde";"Bovisa (77)";4
"Capo Verde";"Dergano (79)";3
"Capo Verde";"Affori (80)";4
"Centrafricana, Repubblica";"Porta Ticinese - Conca del Naviglio (6)";1
"Centrafricana, Repubblica";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Centrafricana, Repubblica";"Lodi - Corvetto (35)";1
"Centrafricana, Repubblica";"Dergano (79)";1
"Ciad";"Magenta - S.Vittore (7)";1
"Ciad";"Gorla - Precotto (16)";4
"Ciad";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Ciad";"Parco Forlanini - Cavriano (24)";2
"Ciad";"Monlue' - Ponte Lambro (31)";2
"Ciad";"Moncucco - San Cristoforo (45)";2
"Ciad";"Barona (46)";1
"Ciad";"Dergano (79)";1
"Congo (Repubblica del)";"Brera (2)";4
"Congo (Repubblica del)";"Guastalla (4)";1
"Congo (Repubblica del)";"Porta Ticinese - Conca del Naviglio (6)";2
"Congo (Repubblica del)";"Porta Garibaldi - Porta Nuova (9)";2
"Congo (Repubblica del)";"Maciachini - Maggiolina (12)";1
"Congo (Repubblica del)";"Greco - Segnano (13)";1
"Congo (Repubblica del)";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";4
"Congo (Repubblica del)";"Bicocca (15)";8
"Congo (Repubblica del)";"Adriano (17)";5
"Congo (Repubblica del)";"Padova - Turro - Crescenzago (19)";2
"Congo (Repubblica del)";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Congo (Repubblica del)";"XXII Marzo (26)";1
"Congo (Repubblica del)";"Umbria - Molise - Calvairate (28)";2
"Congo (Repubblica del)";"Triulzo Superiore (32)";4
"Congo (Repubblica del)";"Lodi - Corvetto (35)";4
"Congo (Repubblica del)";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";2
"Congo (Repubblica del)";"Giambellino (49)";1
"Congo (Repubblica del)";"Bande Nere (52)";1
"Congo (Repubblica del)";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Congo (Repubblica del)";"San Siro (57)";2
"Congo (Repubblica del)";"Stadio - Ippodromi (60)";14
"Congo (Repubblica del)";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Congo (Repubblica del)";"Villapizzone - Cagnola - Boldinasco (71)";1
"Congo (Repubblica del)";"Quarto Oggiaro - Vialba - Musocco (76)";4
"Congo (Repubblica del)";"Dergano (79)";1
"Congo (Repubblica del)";"Bovisasca (81)";2
"Egitto";"Duomo (1)";21
"Egitto";"Brera (2)";133
"Egitto";"Guastalla (4)";40
"Egitto";"Porta Vigentina - Porta Lodovica (5)";111
"Egitto";"Porta Ticinese - Conca del Naviglio (6)";296
"Egitto";"Magenta - S.Vittore (7)";51
"Egitto";"Porta Garibaldi - Porta Nuova (9)";43
"Egitto";"Stazione Centrale - Ponte Seveso (10)";396
"Egitto";"Isola (11)";635
"Egitto";"Maciachini - Maggiolina (12)";765
"Egitto";"Greco - Segnano (13)";332
"Egitto";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";921
"Egitto";"Bicocca (15)";170
"Egitto";"Gorla - Precotto (16)";849
"Egitto";"Adriano (17)";714
"Egitto";"Cimiano - Rottole - Q.re Feltre (18)";360
"Egitto";"Padova - Turro - Crescenzago (19)";2532
"Egitto";"Loreto - Casoretto - NoLo (20)";2687
"Egitto";"Buenos Aires - Porta Venezia - Porta Monforte (21)";538
"Egitto";"Citta' studi (22)";466
"Egitto";"Lambrate - Ortica (23)";201
"Egitto";"Parco Forlanini - Cavriano (24)";151
"Egitto";"Corsica (25)";222
"Egitto";"XXII Marzo (26)";229
"Egitto";"Pta Romana (27)";121
"Egitto";"Umbria - Molise - Calvairate (28)";885
"Egitto";"Ortomercato (29)";417
"Egitto";"Taliedo - Morsenchio - Q.re Forlanini (30)";549
"Egitto";"Monlue' - Ponte Lambro (31)";566
"Egitto";"Triulzo Superiore (32)";325
"Egitto";"Rogoredo - Santa Giulia (33)";332
"Egitto";"Chiaravalle (34)";38
"Egitto";"Lodi - Corvetto (35)";2068
"Egitto";"Scalo Romana (36)";894
"Egitto";"Morivione (37)";169
"Egitto";"Vigentino - Q.re Fatima (38)";267
"Egitto";"Quintosole (39)";24
"Egitto";"Ronchetto delle Rane (40)";38
"Egitto";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";733
"Egitto";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";866
"Egitto";"Tibaldi (43)";386
"Egitto";"Porta Ticinese - Conchetta (44)";236
"Egitto";"Moncucco - San Cristoforo (45)";812
"Egitto";"Barona (46)";1067
"Egitto";"Cantalupa (47)";33
"Egitto";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";450
"Egitto";"Giambellino (49)";1947
"Egitto";"Porta Genova (50)";85
