"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Belgio";"Porta Genova (50)";5
"Belgio";"Porta Magenta (51)";19
"Belgio";"Bande Nere (52)";12
"Belgio";"Lorenteggio (53)";2
"Belgio";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2
"Belgio";"Forze Armate (56)";3
"Belgio";"San Siro (57)";1
"Belgio";"De Angeli - Monte Rosa (58)";14
"Belgio";"Tre Torri (59)";7
"Belgio";"Stadio - Ippodromi (60)";20
"Belgio";"Quarto Cagnino (61)";1
"Belgio";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Belgio";"QT 8 (66)";2
"Belgio";"Portello (67)";5
"Belgio";"Pagano (68)";9
"Belgio";"Sarpi (69)";14
"Belgio";"Ghisolfa (70)";2
"Belgio";"Villapizzone - Cagnola - Boldinasco (71)";9
"Belgio";"Maggiore - Musocco - Certosa (72)";3
"Belgio";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Belgio";"Bovisa (77)";3
"Belgio";"Dergano (79)";3
"Belgio";"Affori (80)";2
"Belgio";"Comasina (82)";1
"Belgio";"Bruzzano (83)";1
"Bulgaria";"Duomo (1)";15
"Bulgaria";"Brera (2)";21
"Bulgaria";"Guastalla (4)";12
"Bulgaria";"Porta Vigentina - Porta Lodovica (5)";20
"Bulgaria";"Porta Ticinese - Conca del Naviglio (6)";29
"Bulgaria";"Magenta - S.Vittore (7)";12
"Bulgaria";"Porta Garibaldi - Porta Nuova (9)";23
"Bulgaria";"Stazione Centrale - Ponte Seveso (10)";20
"Bulgaria";"Isola (11)";27
"Bulgaria";"Maciachini - Maggiolina (12)";21
"Bulgaria";"Greco - Segnano (13)";18
"Bulgaria";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";35
"Bulgaria";"Bicocca (15)";10
"Bulgaria";"Gorla - Precotto (16)";21
"Bulgaria";"Adriano (17)";12
"Bulgaria";"Cimiano - Rottole - Q.re Feltre (18)";42
"Bulgaria";"Padova - Turro - Crescenzago (19)";62
"Bulgaria";"Loreto - Casoretto - NoLo (20)";51
"Bulgaria";"Buenos Aires - Porta Venezia - Porta Monforte (21)";51
"Bulgaria";"Citta' studi (22)";55
"Bulgaria";"Lambrate - Ortica (23)";19
"Bulgaria";"Parco Forlanini - Cavriano (24)";3
"Bulgaria";"Corsica (25)";16
"Bulgaria";"XXII Marzo (26)";26
"Bulgaria";"Pta Romana (27)";17
"Bulgaria";"Umbria - Molise - Calvairate (28)";46
"Bulgaria";"Ortomercato (29)";2
"Bulgaria";"Taliedo - Morsenchio - Q.re Forlanini (30)";20
"Bulgaria";"Monlue' - Ponte Lambro (31)";15
"Bulgaria";"Triulzo Superiore (32)";10
"Bulgaria";"Rogoredo - Santa Giulia (33)";14
"Bulgaria";"Chiaravalle (34)";5
"Bulgaria";"Lodi - Corvetto (35)";65
"Bulgaria";"Scalo Romana (36)";25
"Bulgaria";"Morivione (37)";13
"Bulgaria";"Vigentino - Q.re Fatima (38)";24
"Bulgaria";"Ronchetto delle Rane (40)";1
"Bulgaria";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";12
"Bulgaria";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";31
"Bulgaria";"Tibaldi (43)";5
"Bulgaria";"Porta Ticinese - Conchetta (44)";23
"Bulgaria";"Moncucco - San Cristoforo (45)";28
"Bulgaria";"Barona (46)";5
"Bulgaria";"Cantalupa (47)";3
"Bulgaria";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";21
"Bulgaria";"Giambellino (49)";36
"Bulgaria";"Porta Genova (50)";25
"Bulgaria";"Porta Magenta (51)";16
"Bulgaria";"Bande Nere (52)";49
"Bulgaria";"Lorenteggio (53)";14
"Bulgaria";"Muggiano (54)";4
"Bulgaria";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";27
"Bulgaria";"Forze Armate (56)";41
"Bulgaria";"San Siro (57)";52
"Bulgaria";"De Angeli - Monte Rosa (58)";19
"Bulgaria";"Tre Torri (59)";1
"Bulgaria";"Stadio - Ippodromi (60)";9
"Bulgaria";"Quarto Cagnino (61)";4
"Bulgaria";"Quinto Romano (62)";9
"Bulgaria";"Figino (63)";6
"Bulgaria";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";33
"Bulgaria";"QT 8 (66)";3
"Bulgaria";"Portello (67)";7
"Bulgaria";"Pagano (68)";23
"Bulgaria";"Sarpi (69)";25
"Bulgaria";"Ghisolfa (70)";17
"Bulgaria";"Villapizzone - Cagnola - Boldinasco (71)";21
"Bulgaria";"Maggiore - Musocco - Certosa (72)";6
"Bulgaria";"Cascina Merlata (73)";1
"Bulgaria";"Quarto Oggiaro - Vialba - Musocco (76)";26
"Bulgaria";"Bovisa (77)";15
"Bulgaria";"Farini (78)";5
"Bulgaria";"Dergano (79)";31
"Bulgaria";"Affori (80)";38
"Bulgaria";"Bovisasca (81)";8
"Bulgaria";"Comasina (82)";17
"Bulgaria";"Bruzzano (83)";17
"Bulgaria";"Assiano (87)";2
"Bulgaria";"Parco Bosco in citta' (88)";2
"Danimarca";"Duomo (1)";3
"Danimarca";"Brera (2)";14
"Danimarca";"Guastalla (4)";2
"Danimarca";"Porta Vigentina - Porta Lodovica (5)";7
"Danimarca";"Porta Ticinese - Conca del Naviglio (6)";4
"Danimarca";"Magenta - S.Vittore (7)";12
"Danimarca";"Porta Garibaldi - Porta Nuova (9)";8
"Danimarca";"Stazione Centrale - Ponte Seveso (10)";2
"Danimarca";"Isola (11)";5
"Danimarca";"Maciachini - Maggiolina (12)";2
"Danimarca";"Greco - Segnano (13)";2
"Danimarca";"Bicocca (15)";1
"Danimarca";"Gorla - Precotto (16)";1
"Danimarca";"Adriano (17)";1
"Danimarca";"Loreto - Casoretto - NoLo (20)";2
"Danimarca";"Buenos Aires - Porta Venezia - Porta Monforte (21)";18
"Danimarca";"Citta' studi (22)";1
"Danimarca";"Corsica (25)";2
"Danimarca";"XXII Marzo (26)";14
"Danimarca";"Pta Romana (27)";11
"Danimarca";"Umbria - Molise - Calvairate (28)";5
"Danimarca";"Taliedo - Morsenchio - Q.re Forlanini (30)";2
"Danimarca";"Rogoredo - Santa Giulia (33)";1
"Danimarca";"Lodi - Corvetto (35)";1
"Danimarca";"Vigentino - Q.re Fatima (38)";1
