"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Lodi - Corvetto (35)";"2016";309
"Lodi - Corvetto (35)";"2017";302
"Lodi - Corvetto (35)";"2018";310
"Lodi - Corvetto (35)";"2019";295
"Lodi - Corvetto (35)";"2020";253
"Lodi - Corvetto (35)";"2021";277
"Lodi - Corvetto (35)";"2022";269
"Lodi - Corvetto (35)";"2023";249
"Scalo Romana (36)";"2003";103
"Scalo Romana (36)";"2004";99
"Scalo Romana (36)";"2005";85
"Scalo Romana (36)";"2006";106
"Scalo Romana (36)";"2007";88
"Scalo Romana (36)";"2008";110
"Scalo Romana (36)";"2009";108
"Scalo Romana (36)";"2010";112
"Scalo Romana (36)";"2011";92
"Scalo Romana (36)";"2012";115
"Scalo Romana (36)";"2013";116
"Scalo Romana (36)";"2014";93
"Scalo Romana (36)";"2015";107
"Scalo Romana (36)";"2016";103
"Scalo Romana (36)";"2017";142
"Scalo Romana (36)";"2018";120
"Scalo Romana (36)";"2019";131
"Scalo Romana (36)";"2020";96
"Scalo Romana (36)";"2021";102
"Scalo Romana (36)";"2022";94
"Scalo Romana (36)";"2023";94
"Morivione (37)";"2003";76
"Morivione (37)";"2004";80
"Morivione (37)";"2005";92
"Morivione (37)";"2006";83
"Morivione (37)";"2007";75
"Morivione (37)";"2008";88
"Morivione (37)";"2009";89
"Morivione (37)";"2010";77
"Morivione (37)";"2011";68
"Morivione (37)";"2012";87
"Morivione (37)";"2013";77
"Morivione (37)";"2014";69
"Morivione (37)";"2015";70
"Morivione (37)";"2016";54
"Morivione (37)";"2017";66
"Morivione (37)";"2018";52
"Morivione (37)";"2019";55
"Morivione (37)";"2020";68
"Morivione (37)";"2021";53
"Morivione (37)";"2022";50
"Morivione (37)";"2023";49
"Vigentino - Q.re Fatima (38)";"2003";121
"Vigentino - Q.re Fatima (38)";"2004";121
"Vigentino - Q.re Fatima (38)";"2005";109
"Vigentino - Q.re Fatima (38)";"2006";118
"Vigentino - Q.re Fatima (38)";"2007";119
"Vigentino - Q.re Fatima (38)";"2008";124
