tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA DIONIGI (SAN);50;4290;20139;5;36;SCALO ROMANA;9.22071244115;45.4323213869;45.4323213869, 9.22071244115
VIA DIONIGI (SAN);52;4290;20139;5;36;SCALO ROMANA;9.22071684379;45.4321729523;45.4321729523, 9.22071684379
VIA DIONIGI (SAN);54;4290;20139;5;36;SCALO ROMANA;9.22072510201;45.4320405773;45.4320405773, 9.22072510201
VIA DIONIGI (SAN);56;4290;20139;5;36;SCALO ROMANA;9.22072613417;45.4319111346;45.4319111346, 9.22072613417
VIA DIONIGI (SAN);58;4290;20139;5;36;SCALO ROMANA;9.220730173;45.4317693552;45.4317693552, 9.220730173
VIA DIONIGI (SAN);60;4290;20139;5;36;SCALO ROMANA;9.22073756882;45.4316328766;45.4316328766, 9.22073756882
VIA MACCONAGO;50;4298;20141;5;85;Parco delle Abbazie;9.21198350345;45.4182659697;45.4182659697, 9.21198350345
VIA SELVANESCO;22;4350;20141;5;85;Parco delle Abbazie;9.19951364763;45.4193627607;45.4193627607, 9.19951364763
VIA SELVANESCO;25;4350;20141;5;85;Parco delle Abbazie;9.19585742627;45.4177809504;45.4177809504, 9.19585742627
VIA SELVANESCO;28;4350;20141;5;85;Parco delle Abbazie;9.19588803097;45.4191258662;45.4191258662, 9.19588803097
VIA SELVANESCO;30;4350;20141;5;85;Parco delle Abbazie;9.19433781188;45.4188925976;45.4188925976, 9.19433781188
VIA SELVANESCO;36;4350;20141;5;85;Parco delle Abbazie;9.19306575432;45.4198777123;45.4198777123, 9.19306575432
VIA SELVANESCO;50;4350;20141;5;85;Parco delle Abbazie;9.18534315791;45.4153287243;45.4153287243, 9.18534315791
VIA SELVANESCO;52;4350;20141;5;85;Parco delle Abbazie;9.18490157666;45.4150989871;45.4150989871, 9.18490157666
VIA SELVANESCO;57;4350;20141;5;85;Parco delle Abbazie;9.18535076035;45.4152201617;45.4152201617, 9.18535076035
VIA SELVANESCO;60;4350;20142;5;85;Parco delle Abbazie;9.18259728926;45.4156852728;45.4156852728, 9.18259728926
VIA SELVANESCO;61;4350;20142;5;85;Parco delle Abbazie;9.18308318979;45.4118385546;45.4118385546, 9.18308318979
VIA SELVANESCO;65;4350;20142;5;85;Parco delle Abbazie;9.18390505665;45.4108354641;45.4108354641, 9.18390505665
VIA SELVANESCO;73P01;4350;20142;5;41;GRATOSOGLIO - TICINELLO;9.17984797467;45.4147895866;45.4147895866, 9.17984797467
