id_amat;stato;via_id;via_tipo;via_nome;num_civico;municipio;veicoli;tipo_man;nmanufatti;stalli_man;stalli_totali;ubicazione;LONG_X_4326;LAT_Y_4326;Location
"2149";Esistente;"7210";Via;Via Paolo Sarpi;"30";"8";Velocipedi;Parigina;"2";"3";"6";Marciapiede;9.17634660422825;45.4814476924263;"(45.4814476924263, 9.17634660422825)"
"2159";Esistente;"3065";Via;Via Cappuccini;"9";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"15";"15";Alla quota della carreggiata;9.20246268603223;45.4703831156962;"(45.4703831156962, 9.20246268603223)"
"2160";Esistente;"229";Via;Via Borgospesso;"27";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"8";"8";Alla quota della carreggiata;9.19545235862772;45.4712013246128;"(45.4712013246128, 9.19545235862772)"
"2161";Esistente;"229";Via;Via Borgospesso;"25";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"3";"3";Alla quota della carreggiata;9.19534246328319;45.471115498373;"(45.471115498373, 9.19534246328319)"
"2162";Esistente;"4103";Via;Via Alfonso Lamarmora;"34";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"14";"14";Marciapiede;9.20173308694367;45.4569480733038;"(45.4569480733038, 9.20173308694367)"
"2163";Esistente;"4103";Via;Via Alfonso Lamarmora;"34";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"14";"2";"28";Marciapiede;9.20173271985773;45.4569478934858;"(45.4569478934858, 9.20173271985773)"
"2164";Esistente;"139";Via;Via Borgonuovo;"1";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"1";"1";Alla quota della carreggiata;9.19182641146157;45.4703980570164;"(45.4703980570164, 9.19182641146157)"
"2165";Esistente;"139";Via;Via Borgonuovo;"1";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"3";"3";Alla quota della carreggiata;9.1917509020741;45.4704599842459;"(45.4704599842459, 9.1917509020741)"
"2166";Esistente;"139";Via;Via Borgonuovo;"1";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"6";"6";Alla quota della carreggiata;9.19161854033177;45.4705778213398;"(45.4705778213398, 9.19161854033177)"
"2168";Esistente;"139";Via;Via Borgonuovo;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"4";"4";Alla quota della carreggiata;9.19149340915572;45.4706875194874;"(45.4706875194874, 9.19149340915572)"
"2169";Esistente;"139";Via;Via Borgonuovo;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"7";"7";Alla quota della carreggiata;9.19128871699586;45.4708637170407;"(45.4708637170407, 9.19128871699586)"
"2172";Esistente;"139";Via;Via Borgonuovo;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"17";"17";Alla quota della carreggiata;9.19099506198573;45.4711178236652;"(45.4711178236652, 9.19099506198573)"
"2174";Esistente;"139";Via;Via Borgonuovo;"15";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"12";"12";Alla quota della carreggiata;9.19059003618399;45.4714779251986;"(45.4714779251986, 9.19059003618399)"
"2175";Esistente;"139";Via;Via Borgonuovo;"15";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"3";"3";Alla quota della carreggiata;9.19046167106439;45.4716033882513;"(45.4716033882513, 9.19046167106439)"
"2176";Esistente;"139";Via;Via Borgonuovo;"15";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"5";"5";Alla quota della carreggiata;9.19029621982622;45.4717762208529;"(45.4717762208529, 9.19029621982622)"
"2177";Esistente;"139";Via;Via Borgonuovo;"15";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"2";"2";Alla quota della carreggiata;9.19017450695053;45.4719079514834;"(45.4719079514834, 9.19017450695053)"
"2178";Esistente;"2597";Via;Via Luigi Caroli;"12";"2";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"4";"4";Marciapiede;9.23840888229063;45.5084979498971;"(45.5084979498971, 9.23840888229063)"
