"NIL (Nuclei di Identità Locale)";"Classe di superficie";"Abitazioni"
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"60-89 mq.";5572,71297240257
"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"90 mq. e più";2989,98058348894
"Tibaldi (43)";"Fino a 59 mq.";2054,2498216629
"Tibaldi (43)";"60-89 mq.";2087,06465232372
"Tibaldi (43)";"90 mq. e più";1573,58894026279
"Porta Ticinese - Conchetta (44)";"Fino a 59 mq.";3402,83605134487
"Porta Ticinese - Conchetta (44)";"60-89 mq.";2741,24926638603
"Porta Ticinese - Conchetta (44)";"90 mq. e più";2362,91466188431
"Moncucco - San Cristoforo (45)";"Fino a 59 mq.";2198,46177113056
"Moncucco - San Cristoforo (45)";"60-89 mq.";2545,62118768692
"Moncucco - San Cristoforo (45)";"90 mq. e più";1332,8478358984
"Barona (46)";"Fino a 59 mq.";1836,61416566372
"Barona (46)";"60-89 mq.";3599,08063697815
"Barona (46)";"90 mq. e più";1919,30518138409
"Cantalupa (47)";"Fino a 59 mq.";33,0820103883743
"Cantalupa (47)";"60-89 mq.";41,0127401351929
"Cantalupa (47)";"90 mq. e più";107,675885260105
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Fino a 59 mq.";1885,60867226124
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"60-89 mq.";2314,39459890127
"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"90 mq. e più";2427,34007549286
"Giambellino (49)";"Fino a 59 mq.";6114,87463818491
"Giambellino (49)";"60-89 mq.";5059,37870469689
"Giambellino (49)";"90 mq. e più";3393,74669003487
"Porta Genova (50)";"Fino a 59 mq.";1620,40221595764
"Porta Genova (50)";"60-89 mq.";2197,57942801714
"Porta Genova (50)";"90 mq. e più";3375,18050831556
"Porta Magenta (51)";"Fino a 59 mq.";2306,85652935505
"Porta Magenta (51)";"60-89 mq.";3554,78803443909
"Porta Magenta (51)";"90 mq. e più";6464,35545259714
"Bande Nere (52)";"Fino a 59 mq.";6096,16795158386
"Bande Nere (52)";"60-89 mq.";7826,36074507236
"Bande Nere (52)";"90 mq. e più";6301,47129029036
"Lorenteggio (53)";"Fino a 59 mq.";1376,17218053341
"Lorenteggio (53)";"60-89 mq.";2683,20595419407
"Lorenteggio (53)";"90 mq. e più";1749,90113991499
"Muggiano (54)";"Fino a 59 mq.";257,424248456955
"Muggiano (54)";"60-89 mq.";445,20613861084
"Muggiano (54)";"90 mq. e più";423,358529150486
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Fino a 59 mq.";4137,06773096323
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"60-89 mq.";5526,97892570496
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"90 mq. e più";3121,95333611965
"Forze Armate (56)";"Fino a 59 mq.";3129,3898191452
"Forze Armate (56)";"60-89 mq.";4352,95220071077
"Forze Armate (56)";"90 mq. e più";2705,65798449516
"San Siro (57)";"Fino a 59 mq.";6417,1982845664
"San Siro (57)";"60-89 mq.";3373,23703026772
"San Siro (57)";"90 mq. e più";2224,56471157074
"De Angeli - Monte Rosa (58)";"Fino a 59 mq.";1780,46579551697
"De Angeli - Monte Rosa (58)";"60-89 mq.";2842,31979620457
"De Angeli - Monte Rosa (58)";"90 mq. e più";4832,21441727877
"Tre Torri (59)";"Fino a 59 mq.";48,391392827034
"Tre Torri (59)";"60-89 mq.";94,8326061367989
