"NIL (Nuclei di Identità Locale)";"Numero di residenti";"Abitazioni"
"Giambellino (49)";"1 residente";6736,20956915617
"Giambellino (49)";"2 residenti";3976,81906372309
"Giambellino (49)";"3 residenti";2040,63824635744
"Giambellino (49)";"4 residenti";1324,92749458551
"Giambellino (49)";"5 o più residenti";489,405659094453
"Porta Genova (50)";"1 residente";3286,57976096869
"Porta Genova (50)";"2 residenti";1995,54646342993
"Porta Genova (50)";"3 residenti";1084,55463242531
"Porta Genova (50)";"4 residenti";667,088999807835
"Porta Genova (50)";"5 o più residenti";159,392295658588
"Porta Magenta (51)";"1 residente";5459,48657405376
"Porta Magenta (51)";"2 residenti";3365,71782726049
"Porta Magenta (51)";"3 residenti";1794,48195570707
"Porta Magenta (51)";"4 residenti";1282,69701206684
"Porta Magenta (51)";"5 o più residenti";423,616647303104
"Bande Nere (52)";"1 residente";8831,41544890404
"Bande Nere (52)";"2 residenti";6285,34212315083
"Bande Nere (52)";"3 residenti";2785,48173892498
"Bande Nere (52)";"4 residenti";1870,87738668919
"Bande Nere (52)";"5 o più residenti";450,883289277554
"Lorenteggio (53)";"1 residente";2301,34294587374
"Lorenteggio (53)";"2 residenti";1799,90992450714
"Lorenteggio (53)";"3 residenti";812,963161051273
"Lorenteggio (53)";"4 residenti";673,37142431736
"Lorenteggio (53)";"5 o più residenti";221,691818892956
"Muggiano (54)";"1 residente";314,574586451054
"Muggiano (54)";"2 residenti";285,773753225803
"Muggiano (54)";"3 residenti";270,901232600212
"Muggiano (54)";"4 residenti";202,173188209534
"Muggiano (54)";"5 o più residenti";52,566155731678
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"1 residente";4689,16016769409
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2 residenti";3964,20308184624
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"3 residenti";2258,01592892408
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"4 residenti";1405,45658761263
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"5 o più residenti";469,164226710796
"Forze Armate (56)";"1 residente";3612,48227727413
