"NIL (Nuclei di Identità Locale)";"Figura giuridica del proprietario";"Abitazioni"
"Stadio - Ippodromi (60)";"Persona fisica";4506,97392547131
"Stadio - Ippodromi (60)";"Altro proprietario";559,358942747116
"Quarto Cagnino (61)";"Persona fisica";3293,26619887352
"Quarto Cagnino (61)";"Altro proprietario";805,246727049351
"Quinto Romano (62)";"Persona fisica";1244,7081053853
"Quinto Romano (62)";"Altro proprietario";759,188860654831
"Figino (63)";"Persona fisica";497,694106280804
"Figino (63)";"Altro proprietario";211,19795358181
"Trenno (64)";"Persona fisica";1284,28288459778
"Trenno (64)";"Altro proprietario";451,839122474194
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Persona fisica";11506,8272584677
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Altro proprietario";3147,17280477285
"QT 8 (66)";"Persona fisica";1666,87464988232
"QT 8 (66)";"Altro proprietario";171,81116271019
"Portello (67)";"Persona fisica";3248,3160417676
"Portello (67)";"Altro proprietario";293,083168387413
"Pagano (68)";"Persona fisica";6403,56226187944
"Pagano (68)";"Altro proprietario";922,43775677681
"Sarpi (69)";"Persona fisica";12237,5944117904
"Sarpi (69)";"Altro proprietario";1500,40552639961
"Ghisolfa (70)";"Persona fisica";7380,82882899046
"Ghisolfa (70)";"Altro proprietario";638,171208560467
"Villapizzone - Cagnola - Boldinasco (71)";"Persona fisica";14764,4495770037
"Villapizzone - Cagnola - Boldinasco (71)";"Altro proprietario";2440,55033957958
"Maggiore - Musocco - Certosa (72)";"Persona fisica";1900,51137262583
"Maggiore - Musocco - Certosa (72)";"Altro proprietario";311,443283259869
"Cascina Merlata (73)";"Persona fisica";3,01828527450562
"Cascina Merlata (73)";"Altro proprietario";18,7908596992493
"Roserio (74)";"Persona fisica";79,192819416523
"Roserio (74)";"Altro proprietario";5,86678385734558
"Stephenson (75)";"Persona fisica";9,03889107704163
"Stephenson (75)";"Altro proprietario";6,16014075279236
"Quarto Oggiaro - Vialba - Musocco (76)";"Persona fisica";7557,75738435984
"Quarto Oggiaro - Vialba - Musocco (76)";"Altro proprietario";5506,24261194468
"Bovisa (77)";"Persona fisica";5304,95951756835
"Bovisa (77)";"Altro proprietario";378,710005044937
"Farini (78)";"Persona fisica";1531,22820085287
"Farini (78)";"Altro proprietario";99,2019414901733
"Dergano (79)";"Persona fisica";8526,1850168705
"Dergano (79)";"Altro proprietario";753,814984023571
"Affori (80)";"Persona fisica";8967,31473463774
"Affori (80)";"Altro proprietario";1020,68528878689
"Bovisasca (81)";"Persona fisica";2171,10418355465
"Bovisasca (81)";"Altro proprietario";707,958235740662
"Comasina (82)";"Persona fisica";3218,62975984812
"Comasina (82)";"Altro proprietario";699,640864312649
"Bruzzano (83)";"Persona fisica";3846,40909683704
"Bruzzano (83)";"Altro proprietario";1207,34628725052
"Parco Nord (84)";"Persona fisica";34,5700391530991
"Parco Nord (84)";"Altro proprietario";2,5976767539978
"Parco delle Abbazie (85)";"Persona fisica";89,549456179142
"Parco delle Abbazie (85)";"Altro proprietario";18,4180375933647
"Parco dei Navigli (86)";"Persona fisica";94,4018956422806
"Parco dei Navigli (86)";"Altro proprietario";26,2965879440308
"Assiano (87)";"Persona fisica";77,7384341955185
"Assiano (87)";"Altro proprietario";4,98210030794144
"Parco Bosco in citta' (88)";"Persona fisica";148,107580542564
"Parco Bosco in citta' (88)";"Altro proprietario";34,6204203367233
