Municipio;NIL;Anno Ritiro;Descr Titolo Abilitativo;Numero Abitazioni;Numero Stanze;Numero Vani Accessori Interni;Numero Piani;Volume Totale V/p;Superficie Utile Abitabile;Superficie Accessori Esterni;Superficie Agricoltura;Superficie Attivita' Produttive;Superficie Commercio;Superficie Servizi;Specifica Altra Attivita';Descr_Titolare Titolo Costruire;Consumo Energetico;Rapporto Forma;Fotovoltaico;Solare Termico;Pompe Calore;Caldaia A Condensazione;Geotermico;Nessun Impianto Tra I Citati;PianoCasa
1;Duomo;2012;DIA;4;22;21;5;2460;499;196;0;0;98;0;;Altro;48;0,44;;SI;;;;;
1;Brera;2012;DIA;26;63;57;6;13875;1840;2785;0;0;0;0;;Altro;;0;;;;;;;
1;Brera;2013;DIA;28;92;145;6;8732;2586;2444;0;0;0;0;;Altro;18;0,43;;;SI;;;;
1;Brera;2013;DIA;13;55;70;10;10137;1471;2080;0;0;0;0;;Altro;21;0,43;;;SI;;SI;;
1;Brera;2013;DIA;28;94;142;6;9652;2653;2234;0;0;0;0;;Altro;18;0,43;;;SI;;;;
1;Sarpi;2011;DIA;17;38;51;7;4393;1278;5115;0;0;0;0;;Impresa;17;0,59;;;SI;;;SI;
1;Sarpi;2013;DIA;6;24;15;8;4702;525;746;0;0;0;0;;Impresa;25;0,52;SI;SI;;SI;;;
2;;2012;DIA;32;102;123;6;19908;2530;4555;0;0;0;0;;Altro;26;0,36;;;;;;SI;
2;;2011;DIA;52;179;170;4;38870;4034;4725;0;0;0;0;;Impresa;10;0,45;;;SI;;SI;;
2;;2012;DIA;36;80;104;6;6487;2162;1107;0;0;0;0;;Altro;44;0,55;;SI;;SI;;;
2;;2011;DIA;80;240;225;7;30083;4763;4620;0;0;0;0;;Impresa;28;0,4;;;;;SI;;
2;;2013;DIA;18;40;66;6;5824;770;1198;0;0;0;0;;Impresa;37;0,51;;SI;SI;;;;
2;;2013;DIA;1;5;4;3;760;121;61;0;0;0;0;;Impresa;20;0,66;SI;SI;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
2;;2011;DIA;57;126;75;6;14163;2966;3368;0;0;0;0;;Impresa;33;0,33;;;SI;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
2;;2013;DIA;4;9;11;3;1049;350;259;0;0;0;0;;Altro;;0,62;SI;;SI;;SI;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
2;;2011;DIA;12;27;33;6;3710;706;755;0;0;0;0;;Persona Fisica;51;0,53;;;;;;;
2;;2012;DIA;24;56;40;8;8359;1261;1835;0;0;0;0;;Impresa;26;0,56;;SI;;SI;;;
2;;2013;DIA;14;30;30;8;8230;595;1626;0;0;30;0;;Altro;52;0,54;;SI;;SI;;;
2;;2013;DIA;18;41;55;6;2784;842;1068;0;0;0;0;;Persona Fisica;28;0,54;SI;SI;SI;;;;
2;;2013;DIA;4;8;8;5;1080;162;284;0;0;0;0;;Persona Fisica;;0;;;;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
2;;2012;DIA;33;44;66;5;9254;1174;3008;0;0;0;0;;Impresa;49;0,65;;SI;;SI;;;
2;;2011;Permesso di Costruire;35;43;;5;4845;1448;167;0;0;0;0;;Impresa;;0;;;;;;;
3;;2012;DIA;13;55;59;11;10206;1614;1787;0;0;0;0;;Altro;37;0,4;SI;;SI;;SI;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
3;;2012;Permesso di Costruire;66;255;347;10;48983;7902;4102;0;0;0;0;;Impresa;24;0,43;;;;;SI;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
3;;2012;DIA;17;60;68;4;5733;1911;500;0;0;0;0;;Impresa;;0;;;;;;;
3;;2011;DIA;4;17;17;6;4070;397;665;0;0;0;0;;Impresa;27;0,54;;;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
3;;2013;DIA;9;47;58;5;1950;588;206;0;0;0;0;;Impresa;28;0,62;;;SI;SI;;;
3;;2011;DIA;13;39;37;8;2745;813;1807;0;0;0;0;;Impresa;12;0,55;;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
3;Citta' studi;2012;DIA;29;63;57;6;4370;1211;1737;0;0;0;0;;Altro;27;0,55;SI;;;;SI;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
3;Citta' studi;2011;Permesso di Costruire;12;53;50;8;18450;1024;1172;0;0;0;0;;Altro;27;0,47;;SI;;SI;;;
3;;2012;Permesso di Costruire;104;387;300;11;42688;7389;7243;0;0;0;0;;Impresa;112;0,17;;;;;;SI;
3;;2011;Permesso di Costruire;51;153;209;8;17080;2918;3141;0;0;0;0;;Impresa;;0;;;;;;;
3;;2012;Permesso di Costruire;104;387;300;11;42688;7389;7243;0;0;0;0;;Impresa;112;0,17;;;;;;SI;
4;Corsica;2013;DIA;6;18;18;2;1974;371;249;0;0;0;0;;Altro;57;0,69;SI;SI;;SI;;;
4;XXII Marzo;2011;DIA;5;13;12;5;3540;355;172;0;0;0;0;;Altro;53;0,64;;SI;;SI;;;
4;XXII Marzo;2012;Permesso di Costruire;1;8;9;2;704;199;35;0;0;0;0;;Persona Fisica;43;0,33;;;SI;;;;
4;XXII Marzo;2012;Permesso di Costruire;106;364;402;11;54517;8870;8995;0;0;0;0;;Altro;20;0,38;SI;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
4;XXII Marzo;2013;DIA;6;25;27;5;13001;595;1070;0;0;0;0;;Altro;36;0,55;SI;;;;;;
4;;2013;DIA;11;21;22;6;2280;436;426;0;0;0;0;;Altro;37;0,51;;;SI;SI;;;
4;;2011;Permesso di Costruire;42;131;160;11;18720;3089;3038;0;0;0;0;;Impresa;20;0,49;;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
4;Triulzo Superiore;2012;DIA;22;48;60;6;8571;1029;1203;0;0;0;0;;Impresa;;0;;SI;;;;;
4;Lodi - Corvetto;2011;DIA;105;288;222;9;40362;4336;5233;0;0;1414;0;;Impresa;25;0,29;;SI;SI;SI;SI;;
5;;2011;DIA;24;78;69;3;6795;1663;154;0;0;0;0;;Cooperativa Edilizia;15;0,53;;SI;;;;;
