"NIL (Nuclei di Identità Locale)";"Numero di stanze";"Abitazioni"
"Porta Magenta (51)";"5 o più stanze";4080,18316221237
"Bande Nere (52)";"Fino a 2 stanze";4775,61591422558
"Bande Nere (52)";"3 o 4 stanze";12006,96232903
"Bande Nere (52)";"5 o più stanze";3441,42174369097
"Lorenteggio (53)";"Fino a 2 stanze";1042,54549747705
"Lorenteggio (53)";"3 o 4 stanze";3638,90706318617
"Lorenteggio (53)";"5 o più stanze";1127,82671397924
"Muggiano (54)";"Fino a 2 stanze";240,172395706177
"Muggiano (54)";"3 o 4 stanze";720,250497579575
"Muggiano (54)";"5 o più stanze";165,566022932529
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"Fino a 2 stanze";3249,20174497366
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"3 o 4 stanze";7745,90352112055
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"5 o più stanze";1790,89472669363
"Forze Armate (56)";"Fino a 2 stanze";2682,30608963966
"Forze Armate (56)";"3 o 4 stanze";5751,19767487049
"Forze Armate (56)";"5 o più stanze";1754,49623984098
"San Siro (57)";"Fino a 2 stanze";5700,65728199482
"San Siro (57)";"3 o 4 stanze";5319,65460336208
"San Siro (57)";"5 o più stanze";994,688141047955
"De Angeli - Monte Rosa (58)";"Fino a 2 stanze";1935,91074168682
"De Angeli - Monte Rosa (58)";"3 o 4 stanze";4615,66982328892
"De Angeli - Monte Rosa (58)";"5 o più stanze";2903,41944402456
"Tre Torri (59)";"Fino a 2 stanze";43,7884088754654
"Tre Torri (59)";"3 o 4 stanze";218,152095258236
"Tre Torri (59)";"5 o più stanze";347,475183427334
"Stadio - Ippodromi (60)";"Fino a 2 stanze";707,31943577528
"Stadio - Ippodromi (60)";"3 o 4 stanze";2173,57148468494
"Stadio - Ippodromi (60)";"5 o più stanze";2185,4419477582
"Quarto Cagnino (61)";"Fino a 2 stanze";704,056872367859
"Quarto Cagnino (61)";"3 o 4 stanze";2007,41381347179
"Quarto Cagnino (61)";"5 o più stanze";1387,04224008322
"Quinto Romano (62)";"Fino a 2 stanze";496,943380057812
"Quinto Romano (62)";"3 o 4 stanze";1194,65557938814
"Quinto Romano (62)";"5 o più stanze";312,298006594181
"Figino (63)";"Fino a 2 stanze";178,375534534454
"Figino (63)";"3 o 4 stanze";419,602645158768
"Figino (63)";"5 o più stanze";110,913880169392
"Trenno (64)";"Fino a 2 stanze";239,625175952911
"Trenno (64)";"3 o 4 stanze";1221,41562706232
"Trenno (64)";"5 o più stanze";275,08120405674
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Fino a 2 stanze";1256,80446028709
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"3 o 4 stanze";10859,0886409879
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"5 o più stanze";2538,10696196556
"QT 8 (66)";"Fino a 2 stanze";198,453505814075
"QT 8 (66)";"3 o 4 stanze";1097,05871635675
"QT 8 (66)";"5 o più stanze";543,173590421677
"Portello (67)";"Fino a 2 stanze";601,876335024834
"Portello (67)";"3 o 4 stanze";2000,01897460222
"Portello (67)";"5 o più stanze";939,503900527954
"Pagano (68)";"Fino a 2 stanze";875,957606971264
"Pagano (68)";"3 o 4 stanze";2933,42757469416
"Pagano (68)";"5 o più stanze";3516,61483699083
"Sarpi (69)";"Fino a 2 stanze";3935,78512847424
"Sarpi (69)";"3 o 4 stanze";6995,25056016445
"Sarpi (69)";"5 o più stanze";2806,9642495513
"Ghisolfa (70)";"Fino a 2 stanze";2268,41671276093
"Ghisolfa (70)";"3 o 4 stanze";4446,82556784153
"Ghisolfa (70)";"5 o più stanze";1303,75775694847
"Villapizzone - Cagnola - Boldinasco (71)";"Fino a 2 stanze";6152,21254986525
"Villapizzone - Cagnola - Boldinasco (71)";"3 o 4 stanze";9221,55537471175
"Villapizzone - Cagnola - Boldinasco (71)";"5 o più stanze";1831,2319920063
"Maggiore - Musocco - Certosa (72)";"Fino a 2 stanze";543,753320753574
"Maggiore - Musocco - Certosa (72)";"3 o 4 stanze";1247,23876649141
"Maggiore - Musocco - Certosa (72)";"5 o più stanze";420,962568640709
"Cascina Merlata (73)";"Fino a 2 stanze";4,02201902866364
"Cascina Merlata (73)";"3 o 4 stanze";3,96381223201752
"Cascina Merlata (73)";"5 o più stanze";13,8233137130737
"Roserio (74)";"Fino a 2 stanze";6,00320076942444
"Roserio (74)";"3 o 4 stanze";60,8991253972054
"Roserio (74)";"5 o più stanze";18,1572771072388
"Stephenson (75)";"3 o 4 stanze";12,0547156333923
"Stephenson (75)";"5 o più stanze";3,14431619644165
"Quarto Oggiaro - Vialba - Musocco (76)";"Fino a 2 stanze";3419,14492017031
"Quarto Oggiaro - Vialba - Musocco (76)";"3 o 4 stanze";8140,35791498423
"Quarto Oggiaro - Vialba - Musocco (76)";"5 o più stanze";1504,49716114998
"Bovisa (77)";"Fino a 2 stanze";2247,59673380852
"Bovisa (77)";"3 o 4 stanze";2977,43115511537
"Bovisa (77)";"5 o più stanze";458,641633689404
"Farini (78)";"Fino a 2 stanze";567,648443281651
"Farini (78)";"3 o 4 stanze";937,57964605093
"Farini (78)";"5 o più stanze";125,202053010464
"Dergano (79)";"Fino a 2 stanze";3334,77055972815
"Dergano (79)";"3 o 4 stanze";4938,51046603918
"Dergano (79)";"5 o più stanze";1006,71897512674
"Affori (80)";"Fino a 2 stanze";3205,07688772678
"Affori (80)";"3 o 4 stanze";5626,30483669043
"Affori (80)";"5 o più stanze";1156,61829900742
"Bovisasca (81)";"Fino a 2 stanze";343,972656607628
"Bovisasca (81)";"3 o 4 stanze";1909,85809022188
"Bovisasca (81)";"5 o più stanze";625,231672465801
"Comasina (82)";"Fino a 2 stanze";976,521069347858
"Comasina (82)";"3 o 4 stanze";2643,04028052092
"Comasina (82)";"5 o più stanze";298,709274291992
"Bruzzano (83)";"Fino a 2 stanze";1560,67175137997
"Bruzzano (83)";"3 o 4 stanze";2866,20242041349
"Bruzzano (83)";"5 o più stanze";626,881212294102
"Parco Nord (84)";"Fino a 2 stanze";12,086044549942
"Parco Nord (84)";"3 o 4 stanze";15,7705768346787
"Parco Nord (84)";"5 o più stanze";9,3110945224762
"Parco delle Abbazie (85)";"Fino a 2 stanze";44,4351727366447
"Parco delle Abbazie (85)";"3 o 4 stanze";44,5650445222855
"Parco delle Abbazie (85)";"5 o più stanze";18,9672765135765
"Parco dei Navigli (86)";"Fino a 2 stanze";54,4458867311478
"Parco dei Navigli (86)";"3 o 4 stanze";51,0339289903641
"Parco dei Navigli (86)";"5 o più stanze";15,2186678647995
"Assiano (87)";"Fino a 2 stanze";15,0315425395966
"Assiano (87)";"3 o 4 stanze";50,8480342030525
"Assiano (87)";"5 o più stanze";16,8409577608109
"Parco Bosco in citta' (88)";"Fino a 2 stanze";68,2011479139328
"Parco Bosco in citta' (88)";"3 o 4 stanze";70,378831923008
"Parco Bosco in citta' (88)";"5 o più stanze";44,148021042347
